timestamp,x,y,z,yaw,linear_vel,angular_vel
2025-11-24T06:43:55.393950,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.407182,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.419170,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.440492,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.456871,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.475025,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.487346,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.500515,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.528259,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.546080,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.575701,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.604954,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.652211,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.688879,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.716693,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.728663,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.735905,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.746911,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.756491,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.775307,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.784317,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.795854,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.802056,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.812324,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.833429,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.867014,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.902015,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.923606,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.955279,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.967397,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.971734,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.983697,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.993942,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.003464,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.012887,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.023935,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.029441,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.044717,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.053525,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.064293,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.075835,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.108299,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.131488,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.161836,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.213044,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.270213,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.341113,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.351381,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.361780,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:56.373115,-1.500,-3.000,1.270,0.000,0.000,0.000
